id,domain,official_type,a,b,existing_desc,review_status,reviewed_desc,semantic_source,semantic_relation,semantic_target,semantic_relation_ko,confidence,note
1,Common Interfaces Across Domains (도메인 공통 인터페이스),Extends,Intelligence Report,Report,정보보고서는 보고서의 세부 유형이다.,유지,정보보고서는 보고서의 세부 유형이다.,Intelligence Report,EXTENDS_TO,Report,~를 확장,높음,공식 Extends의 의미를 그대로 사용
2,Common Interfaces Across Domains (도메인 공통 인터페이스),Extends,Materiel Change Event,Report Observation,물자 변경 이벤트는 보고서 관측 항목의 세부 유형이다.,유지,물자 변경 이벤트는 보고서 관측 항목의 세부 유형이다.,Materiel Change Event,EXTENDS_TO,Report Observation,~를 확장,높음,공식 Extends
3,Common Interfaces Across Domains (도메인 공통 인터페이스),Extends,Materiel Status Event,Report Observation,물자 상태 이벤트는 보고서 관측 항목의 세부 유형이다.,유지,물자 상태 이벤트는 보고서 관측 항목의 세부 유형이다.,Materiel Status Event,EXTENDS_TO,Report Observation,~를 확장,높음,공식 Extends
4,Common Interfaces Across Domains (도메인 공통 인터페이스),Extends,Defense Geotemporal Observation,Geotemporal Observation,국방 시공간 관측은 플랫폼 범용 시공간 관측의 세부 유형이다.,유지,국방 시공간 관측은 플랫폼 범용 시공간 관측의 세부 유형이다.,Defense Geotemporal Observation,EXTENDS_TO,Geotemporal Observation,~를 확장,높음,공식 Extends; target은 플랫폼 기반 Interface
5,Common Interfaces Across Domains (도메인 공통 인터페이스),Extends,Defense Tracked Entity,Tracked Entity,국방 추적 객체는 플랫폼 범용 추적 객체의 세부 유형이다.,유지,국방 추적 객체는 플랫폼 범용 추적 객체의 세부 유형이다.,Defense Tracked Entity,EXTENDS_TO,Tracked Entity,~를 확장,높음,공식 Extends; target은 플랫폼 기반 Interface
6,Common Interfaces Across Domains (도메인 공통 인터페이스),Link,Report,Report Observation,한 보고서에 어떤 관측 항목이 들어 있는지 나타낸다.,유지,한 보고서에 어떤 관측 항목이 들어 있는지 나타낸다.,Report,HAS_OBSERVATION,Report Observation,관측 항목 포함,높음,Report가 여러 Report Observation을 포함/참조
7,Common Interfaces Across Domains (도메인 공통 인터페이스),Link,Named Location,Materiel Requirement,물자를 어디에 보내야 하는지 나타낸다.,수정,"물자 요구와 관련된 명명 위치를 연결한다. 요구·수령 지점일 수 있으나, 공개 관계만으로 단순한 배송 목적지라고 단정하기는 어렵다.",Materiel Requirement,HAS_RELATED_LOCATION,Named Location,관련 위치,중간,공식 Link만으로 배송 목적지인지 요구/수령 위치인지 세부 역할명은 확정하기 어려움
8,Common Interfaces Across Domains (도메인 공통 인터페이스),Link,Named Location,Materiel Change Event,물자 변동이 발생한 위치를 나타낸다.,유지,물자 변동이 발생한 위치를 나타낸다.,Materiel Change Event,OCCURRED_AT,Named Location,발생 위치,높음,변경 이벤트의 위치
9,Common Interfaces Across Domains (도메인 공통 인터페이스),Link,Named Location,Materiel Status Event,물자 상태를 확인한 위치를 나타낸다.,유지,물자 상태를 확인한 위치를 나타낸다.,Materiel Status Event,RECORDED_AT,Named Location,상태 기록 위치,높음,상태 이벤트가 관측/기록된 위치
10,Intelligence (정보),Extends,Targetable Entity,Intelligence Subject,표적화 가능 실체는 정보수집 대상의 세부 유형이다.,유지,표적화 가능 실체는 정보수집 대상의 세부 유형이다.,Targetable Entity,EXTENDS_TO,Intelligence Subject,~를 확장,높음,공식 Extends
11,Intelligence (정보),Extends,OPIR,GEOINT,지속 적외선 정보는 지리공간정보의 세부 유형이다.,유지,지속 적외선 정보는 지리공간정보의 세부 유형이다.,OPIR,EXTENDS_TO,GEOINT,~를 확장,높음,공식 Extends
