relationship_id,scenario_id,source_object_id,relation_type,target_object_id,basis_interface_relation_id,basis,description_ko,synthetic
OR-001,S01,OBJ-018,ABOUT_SUBJECT,OBJ-057,IR-019,INHERITED_INTERFACE_CANDIDATE_CONFIRMED,"IMINT는 Intelligence 계열이며 Targetable Entity는 Intelligence Subject의 하위 Interface이므로, 미식별 차량을 영상정보의 대상 객체로 선택한 합성 사례.",true
OR-002,S01,OBJ-018,PRODUCED_BY,OBJ-014,IR-021,INHERITED_INTERFACE_CANDIDATE_CONFIRMED,IMINT가 Intelligence의 PRODUCED_BY 관계를 상속해 가상 EO/IR 센서 생산주체와 연결된 사례.,true
OR-003,S01,OBJ-021,ABOUT_SUBJECT,OBJ-057,IR-019,INHERITED_INTERFACE_CANDIDATE_CONFIRMED,SIGINT가 Intelligence의 ABOUT_SUBJECT 관계를 상속해 동일 차량을 관심대상으로 설명하는 사례.,true
OR-004,S01,OBJ-021,PRODUCED_BY,OBJ-013,IR-021,INHERITED_INTERFACE_CANDIDATE_CONFIRMED,SIGINT가 Intelligence의 생산주체 관계를 상속해 합동정보분석체계와 연결된 사례.,true
OR-005,S01,OBJ-010,ABOUT_SUBJECT,OBJ-057,IR-019,INHERITED_TARGET_INTERFACE_CANDIDATE_CONFIRMED,종합 정보판단이 표적화 가능 실체를 정보대상으로 선택한 사례.,true
OR-006,S01,OBJ-010,PRODUCED_BY,OBJ-013,IR-021,INTERFACE_CANDIDATE_CONFIRMED,종합 정보판단의 생산주체를 연결한 사례.,true
OR-007,S01,OBJ-002,HAS_OBSERVATION,OBJ-004,IR-006,INTERFACE_CANDIDATE_CONFIRMED,일일 상황보고서에 차량 이동 관측 항목을 포함한 사례.,true
OR-008,S01,OBJ-025,HAS_OBSERVATION,OBJ-004,IR-006,INHERITED_INTERFACE_CANDIDATE_CONFIRMED,Intelligence Report가 Report를 확장하므로 동일 관측 항목을 포함할 수 있음을 보여주는 사례.,true
OR-009,S01,OBJ-060,TARGETS_ENTITY,OBJ-057,IR-069,INTERFACE_CANDIDATE_CONFIRMED,정보융합 결과를 바탕으로 표적화 검토과업이 미식별 군용차량을 대상으로 삼은 합성 사례.,true
OR-010,S01,OBJ-081,INCLUDES_TARGET,OBJ-060,IR-072,INTERFACE_CANDIDATE_CONFIRMED,표적화 작전이 검토과업 T-101을 포함하도록 구체화한 사례.,true
OR-011,S01,OBJ-081,PERFORMED_BY_UNIT,OBJ-034,IR-027,INHERITED_INTERFACE_CANDIDATE_CONFIRMED,Targeting Operation이 Operation을 확장하므로 수행부대 관계를 상속해 제101감시중대와 연결한 사례.,true
OR-012,S02,OBJ-060,TARGETS_ENTITY,OBJ-057,IR-069,INTERFACE_CANDIDATE_CONFIRMED,표적화 과업과 실제 표적화 가능 실체의 연결.,true
OR-013,S02,OBJ-057,HAS_TARGET_TYPE,OBJ-056,IR-070,INTERFACE_CANDIDATE_CONFIRMED,표적화 가능 실체에 이동형 군용차량 유형을 부여한 사례.,true
OR-014,S02,OBJ-081,INCLUDES_TARGET,OBJ-060,IR-072,INTERFACE_CANDIDATE_CONFIRMED,표적화 작전이 표적화 과업을 포함.,true
