object_id,property_key,property_name,property_type,value_raw,display_value_ko,defined_by_interface_id,defined_by_interface,inheritance,required,synthetic
OBJ-001,sidc,SIDC,string,SYNTH-SIDC-001,합성 군사심볼 코드 001,IF-001,MILSTD 2525C Symbol,direct,true,true
OBJ-001,symbol_anchor_points,Symbol Anchor Points,list<geohash>,"[""wydq70m4"", ""wydq76hm""]",합성 기준좌표 2점,IF-001,MILSTD 2525C Symbol,direct,true,true
OBJ-001,quantity_modifier_c,Quantity Modifier (C),integer,3,3개,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,reinforced_or_reduced_modifier_f,Reinforced or Reduced Modifier (F),MIL2525 Reinforced or Reduced,R,증강(R),IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,staff_comments_modifier_g,Staff Comments Modifier (G),string,합성 훈련데이터,합성 훈련데이터,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,additional_information_modifier_1_h,Additional Information Modifier 1 (H),string,추가정보-1,추가정보 1,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,additional_information_modifier_2_h1,Additional Information Modifier 2 (H1),string,추가정보-1,추가정보 1,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,additional_information_modifier_3_h2,Additional Information Modifier 3 (H2),string,추가정보-1,추가정보 1,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,evaluation_rating_modifier_j,Evaluation Rating Modifier (J),MIL2525 Evaluation Rating,B2,출처 신뢰도 B / 정보 신빙성 2,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,combat_effectiveness_modifier_k,Combat Effectiveness Modifier (K),string,양호,양호,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,signature_equipment_modifier_l,Signature Equipment Modifier (L),MIL2525 Signature Equipment,DETECTED,전자 신호 탐지됨,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,higher_formation_modifier_m,Higher Formation Modifier (M),string,가상 제1합동감시단,가상 제1합동감시단,IF-001,MILSTD 2525C Symbol,direct,false,true
