interface_id,name_en,name_ko,domain_id,role_ko,property_source_status,source_url
IF-001,MILSTD 2525C Symbol,군사표준 심볼,DOM-COMMON,MIL-STD-2525C에 따른 전술기호와 전술도형을 표현,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/common/interfaceTypes/com-palantir-ontology-defense-types-mil2525CSymbol
IF-002,Report,보고서,DOM-COMMON,특정 실체나 사건에 관한 관측 내용을 묶어 표현하는 일반 보고서,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/common/interfaceTypes/com-palantir-ontology-defense-types-report
IF-003,Report Observation,보고서 관측 항목,DOM-COMMON,보고서에 포함된 개별 관측 또는 사실 단위를 표현,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/common/interfaceTypes/com-palantir-ontology-defense-types-reportObservation
IF-004,Defense Tracked Entity,국방 추적 객체,DOM-COMMON,위치가 지속적으로 추적되는 국방 실체의 공통 구조,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/common/interfaceTypes/com-palantir-ontology-defense-types-defenseTrackedEntity
IF-005,Defense Geotemporal Observation,국방 시공간 관측,DOM-COMMON,센서나 추적체계에서 발생한 시간 정보가 있는 위치 관측,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/common/interfaceTypes/com-palantir-ontology-defense-types-defenseGeotemporalObservation
IF-006,Named Location,명명 위치,DOM-COMMON,기지·보급소·작전구역처럼 이름을 가진 지리적 위치,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/common/interfaceTypes/com-palantir-ontology-defense-types-namedLocation
IF-007,Intelligence,정보,DOM-INTELLIGENCE,수집·생산된 정보와 그 출처·시각·신뢰도를 표현하는 상위 구조,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/intelligence/interfaceTypes/com-palantir-ontology-defense-types-intelligence
IF-008,Intelligence Subject,정보수집 대상,DOM-INTELLIGENCE,정보가 수집되거나 분석되는 대상 실체,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/intelligence/interfaceTypes/com-palantir-ontology-defense-types-intelligenceSubject
IF-009,Intelligence Producer,정보 생산자,DOM-INTELLIGENCE,정보를 생산한 센서·기관·사람·시스템 등의 공통 구조,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/intelligence/interfaceTypes/com-palantir-ontology-defense-types-intelligenceProducer
IF-010,OSINT,공개출처정보,DOM-INTELLIGENCE,공개적으로 이용 가능한 출처에서 수집한 정보,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/intelligence/interfaceTypes/com-palantir-ontology-defense-types-osint
IF-011,GEOINT,지리공간정보,DOM-INTELLIGENCE,영상과 지리공간정보를 이용해 위치·활동을 분석한 정보,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/intelligence/interfaceTypes/com-palantir-ontology-defense-types-geoint
IF-012,OPIR,지속 적외선 정보,DOM-INTELLIGENCE,적외선 센서를 이용하여 탐지한 활동과 위치 정보,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/intelligence/interfaceTypes/com-palantir-ontology-defense-types-opir
IF-013,IMINT,영상정보,DOM-INTELLIGENCE,영상 센서로 수집한 영상 기반 정보,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/intelligence/interfaceTypes/com-palantir-ontology-defense-types-imint
IF-014,MTI,이동표적지시 정보,DOM-INTELLIGENCE,이동 중인 표적의 위치와 오차 범위를 표현하는 정보,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/intelligence/interfaceTypes/com-palantir-ontology-defense-types-mti
IF-015,SIGINT,신호정보,DOM-INTELLIGENCE,전자·통신 신호를 수집·분석하여 생성한 정보,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/intelligence/interfaceTypes/com-palantir-ontology-defense-types-sigint
IF-016,ELINT,전자정보,DOM-INTELLIGENCE,통신 목적이 아닌 전자신호를 분석한 정보,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/intelligence/interfaceTypes/com-palantir-ontology-defense-types-elint
IF-017,COMINT,통신정보,DOM-INTELLIGENCE,통신 신호와 통신 내용을 분석한 정보,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/intelligence/interfaceTypes/com-palantir-ontology-defense-types-comint
IF-018,Intelligence Report,정보보고서,DOM-INTELLIGENCE,정보 분석 결과와 원문·미디어를 함께 담는 보고서,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/intelligence/interfaceTypes/com-palantir-ontology-defense-types-intelligenceReport
IF-019,Operation,작전,DOM-MISSION-PLANNING,군사작전의 계획·수행 기간과 상하위 작전 구조를 표현,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/missionPlanning/interfaceTypes/com-palantir-ontology-defense-types-operation
IF-020,Organization,조직,DOM-ORDER-OF-BATTLE,부대·태스크포스·사령부·기관 등 조직 실체의 공통 구조,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/orderOfBattle/interfaceTypes/com-palantir-ontology-defense-types-organization
IF-021,Organization Hierarchy Node Relationship,조직 계층 노드 관계,DOM-ORDER-OF-BATTLE,특정 조직 계층 안에서 부모·자식 조직 관계를 나타내는 중간 관계 객체,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/orderOfBattle/interfaceTypes/com-palantir-ontology-defense-types-organizationHierarchyNodeRelationship
