relationship_id,source_object_id,relation_type,target_object_id,relation_name_ko,basis,basis_interface_relation_id,description_ko,synthetic
REL-001,OBJ-002,HAS_OBSERVATION,OBJ-004,관측 항목 포함,DIRECT_OSDK_LINK,6,한 보고서에 어떤 관측 항목이 들어 있는지 나타낸다.,True
REL-002,OBJ-051,HAS_RELATED_LOCATION,OBJ-007,관련 위치,DIRECT_OSDK_LINK,7,"물자 요구와 관련된 명명 위치를 연결한다. 요구·수령 지점일 수 있으나, 공개 관계만으로 단순한 배송 목적지라고 단정하기는 어렵다.",True
REL-003,OBJ-049,OCCURRED_AT,OBJ-007,발생 위치,DIRECT_OSDK_LINK,8,물자 변동이 발생한 위치를 나타낸다.,True
REL-004,OBJ-050,RECORDED_AT,OBJ-007,상태 기록 위치,DIRECT_OSDK_LINK,9,물자 상태를 확인한 위치를 나타낸다.,True
REL-005,OBJ-010,ABOUT_SUBJECT,OBJ-012,정보 대상,DIRECT_OSDK_LINK,19,이 정보가 누구 또는 무엇에 관한 것인지 나타낸다.,True
REL-006,OBJ-063,SUPPORTED_BY_INTELLIGENCE,OBJ-010,근거 정보,DIRECT_OSDK_LINK,20,변화 평가를 뒷받침하거나 근거로 사용된 Intelligence를 연결한다.,True
REL-007,OBJ-010,PRODUCED_BY,OBJ-013,정보 생산자,DIRECT_OSDK_LINK,21,이 정보를 누가 또는 어떤 센서가 만들었는지 나타낸다.,True
REL-008,OBJ-064,SUPPORTED_BY_INTELLIGENCE,OBJ-010,근거 정보,DIRECT_OSDK_LINK,22,기능 평가를 뒷받침하거나 근거로 사용된 Intelligence를 연결한다.,True
REL-009,OBJ-065,SUPPORTED_BY_INTELLIGENCE,OBJ-010,근거 정보,DIRECT_OSDK_LINK,23,부수피해 평가를 뒷받침하거나 근거로 사용된 Intelligence를 연결한다.,True
REL-010,OBJ-027,HAS_SUB_OPERATION,OBJ-028,하위 작전,DIRECT_OSDK_LINK,26,Operation 사이의 상위–하위 작전 구조를 나타낸다. 상세 정의에는 Parent Operation과 Child Operation 관계가 제시된다.,True
REL-011,OBJ-027,PERFORMED_BY_UNIT,OBJ-034,수행/담당 부대,DIRECT_OSDK_LINK,27,Operation과 이를 수행하거나 담당하는 Unit을 연결한다. 공개 요약만으로 세부 link property 명칭까지는 확정하기 어렵다.,True
REL-012,OBJ-027,USES_UNIT_HIERARCHY,OBJ-039,적용 부대 편제,DIRECT_OSDK_LINK,28,작전 당시 적용된 부대 편제를 나타낸다.,True
REL-013,OBJ-034,HAS_UNIT_TYPE,OBJ-040,부대 유형,DIRECT_OSDK_LINK,32,부대를 해당 부대 유형으로 분류한다.,True
REL-014,OBJ-075,ALLOWS_AMMUNITION_TYPE,OBJ-043,허용/관련 탄약 유형,DIRECT_OSDK_LINK,33,공격지침에서 사용할 수 있는 탄약을 나타낸다.,True
REL-015,OBJ-031,INVOLVES_ORGANIZATION,OBJ-029,부모/자식 조직,DIRECT_OSDK_LINK,34,조직 계층 관계 객체가 부모 조직과 자식 조직을 각각 참조한다. 하나의 pair로는 두 역할이 합쳐져 보인다.,True
REL-016,OBJ-049,FOR_ORGANIZATION,OBJ-029,대상 조직,DIRECT_OSDK_LINK,35,어느 조직의 물자 변경 기록인지 나타낸다.,True
REL-017,OBJ-050,FOR_ORGANIZATION,OBJ-029,대상 조직,DIRECT_OSDK_LINK,36,어느 조직의 물자 상태 기록인지 나타낸다.,True
REL-018,OBJ-051,REQUESTED_BY_ORGANIZATION,OBJ-029,요청 조직,DIRECT_OSDK_LINK,37,어느 조직이 물자를 요청했는지 나타낸다.,True
REL-019,OBJ-077,APPLIES_TO_AMMUNITION_TYPE,OBJ-043,적용 탄약 유형,DIRECT_OSDK_LINK,38,"Target Selection Standard와 관련 Ammunition Type을 연결한다. ""이 기준에서 사용할 탄약""으로 단정하기보다 적용 맥락의 탄약 유형으로 보는 편이 안전하다.",True
