relation_id,source_interface_id,source_interface_en,relation_type,target_interface_id,target_interface_en,directionality,description_ko,official,source_basis
IR-001,IF-018,Intelligence Report,EXTENDS_TO,IF-002,Report,directed_child_to_parent,정보보고서는 보고서의 세부 유형이다.,true,Defense OSDK public relationship
IR-002,IF-033,Materiel Change Event,EXTENDS_TO,IF-003,Report Observation,directed_child_to_parent,물자 변경 이벤트는 보고서 관측 항목의 세부 유형이다.,true,Defense OSDK public relationship
IR-003,IF-034,Materiel Status Event,EXTENDS_TO,IF-003,Report Observation,directed_child_to_parent,물자 상태 이벤트는 보고서 관측 항목의 세부 유형이다.,true,Defense OSDK public relationship
IR-004,IF-005,Defense Geotemporal Observation,EXTENDS_TO,IF-PB-001,Geotemporal Observation,directed_child_to_parent,국방 시공간 관측은 플랫폼 범용 시공간 관측의 세부 유형이다.,true,Defense OSDK public relationship
IR-005,IF-004,Defense Tracked Entity,EXTENDS_TO,IF-PB-002,Tracked Entity,directed_child_to_parent,국방 추적 객체는 플랫폼 범용 추적 객체의 세부 유형이다.,true,Defense OSDK public relationship
IR-006,IF-002,Report,LINK,IF-003,Report Observation,conceptually_undirected,한 보고서에 어떤 관측 항목이 들어 있는지 나타낸다.,true,Defense OSDK public relationship
IR-007,IF-006,Named Location,LINK,IF-035,Materiel Requirement,conceptually_undirected,"물자 요구와 관련된 명명 위치를 연결한다. 요구·수령 지점일 수 있으나, 공개 관계만으로 단순한 배송 목적지라고 단정하기는 어렵다.",true,Defense OSDK public relationship
IR-008,IF-006,Named Location,LINK,IF-033,Materiel Change Event,conceptually_undirected,물자 변동이 발생한 위치를 나타낸다.,true,Defense OSDK public relationship
IR-009,IF-006,Named Location,LINK,IF-034,Materiel Status Event,conceptually_undirected,물자 상태를 확인한 위치를 나타낸다.,true,Defense OSDK public relationship
IR-010,IF-041,Targetable Entity,EXTENDS_TO,IF-008,Intelligence Subject,directed_child_to_parent,표적화 가능 실체는 정보수집 대상의 세부 유형이다.,true,Defense OSDK public relationship
IR-011,IF-012,OPIR,EXTENDS_TO,IF-011,GEOINT,directed_child_to_parent,지속 적외선 정보는 지리공간정보의 세부 유형이다.,true,Defense OSDK public relationship
IR-012,IF-016,ELINT,EXTENDS_TO,IF-015,SIGINT,directed_child_to_parent,전자정보는 신호정보의 세부 유형이다.,true,Defense OSDK public relationship
IR-013,IF-011,GEOINT,EXTENDS_TO,IF-007,Intelligence,directed_child_to_parent,지리공간정보는 정보의 세부 유형이다.,true,Defense OSDK public relationship
IR-014,IF-010,OSINT,EXTENDS_TO,IF-007,Intelligence,directed_child_to_parent,공개출처정보는 정보의 세부 유형이다.,true,Defense OSDK public relationship
IR-015,IF-014,MTI,EXTENDS_TO,IF-011,GEOINT,directed_child_to_parent,이동표적지시 정보는 지리공간정보의 세부 유형이다.,true,Defense OSDK public relationship
IR-016,IF-013,IMINT,EXTENDS_TO,IF-011,GEOINT,directed_child_to_parent,영상정보는 지리공간정보의 세부 유형이다.,true,Defense OSDK public relationship
IR-017,IF-017,COMINT,EXTENDS_TO,IF-015,SIGINT,directed_child_to_parent,통신정보는 신호정보의 세부 유형이다.,true,Defense OSDK public relationship
IR-018,IF-015,SIGINT,EXTENDS_TO,IF-007,Intelligence,directed_child_to_parent,신호정보는 정보의 세부 유형이다.,true,Defense OSDK public relationship
IR-019,IF-007,Intelligence,LINK,IF-008,Intelligence Subject,conceptually_undirected,이 정보가 누구 또는 무엇에 관한 것인지 나타낸다.,true,Defense OSDK public relationship
IR-020,IF-007,Intelligence,LINK,IF-043,Change Assessment,conceptually_undirected,변화 평가를 뒷받침하거나 근거로 사용된 Intelligence를 연결한다.,true,Defense OSDK public relationship
IR-021,IF-007,Intelligence,LINK,IF-009,Intelligence Producer,conceptually_undirected,이 정보를 누가 또는 어떤 센서가 만들었는지 나타낸다.,true,Defense OSDK public relationship
IR-022,IF-007,Intelligence,LINK,IF-044,Functional Assessment,conceptually_undirected,기능 평가를 뒷받침하거나 근거로 사용된 Intelligence를 연결한다.,true,Defense OSDK public relationship
IR-023,IF-007,Intelligence,LINK,IF-045,Collateral Damage Assessment,conceptually_undirected,부수피해 평가를 뒷받침하거나 근거로 사용된 Intelligence를 연결한다.,true,Defense OSDK public relationship
IR-024,IF-048,Engagement,EXTENDS_TO,IF-019,Operation,directed_child_to_parent,교전은 작전의 세부 유형이다.,true,Defense OSDK public relationship
IR-025,IF-059,Targeting Operation,EXTENDS_TO,IF-019,Operation,directed_child_to_parent,표적화 작전은 작전의 세부 유형이다.,true,Defense OSDK public relationship
IR-026,IF-019,Operation,LINK,IF-019,Operation,conceptually_undirected,Operation 사이의 상위–하위 작전 구조를 나타낸다. 상세 정의에는 Parent Operation과 Child Operation 관계가 제시된다.,true,Defense OSDK public relationship
IR-027,IF-019,Operation,LINK,IF-024,Unit,conceptually_undirected,Operation과 이를 수행하거나 담당하는 Unit을 연결한다. 공개 요약만으로 세부 link property 명칭까지는 확정하기 어렵다.,true,Defense OSDK public relationship
IR-028,IF-019,Operation,LINK,IF-027,Unit Hierarchy,conceptually_undirected,작전 당시 적용된 부대 편제를 나타낸다.,true,Defense OSDK public relationship
IR-029,IF-030,Ammunition Type,EXTENDS_TO,IF-029,Materiel Type,directed_child_to_parent,탄약 유형은 물자 유형의 세부 유형이다.,true,Defense OSDK public relationship
IR-030,IF-031,Equipment Type,EXTENDS_TO,IF-029,Materiel Type,directed_child_to_parent,장비 유형은 물자 유형의 세부 유형이다.,true,Defense OSDK public relationship
IR-031,IF-024,Unit,EXTENDS_TO,IF-020,Organization,directed_child_to_parent,부대는 조직의 세부 유형이다.,true,Defense OSDK public relationship
IR-032,IF-028,Unit Type,LINK,IF-024,Unit,conceptually_undirected,부대를 해당 부대 유형으로 분류한다.,true,Defense OSDK public relationship
IR-033,IF-030,Ammunition Type,LINK,IF-053,Attack Guidance,conceptually_undirected,공격지침에서 사용할 수 있는 탄약을 나타낸다.,true,Defense OSDK public relationship
IR-034,IF-020,Organization,LINK,IF-021,Organization Hierarchy Node Relationship,conceptually_undirected,조직 계층 관계 객체가 부모 조직과 자식 조직을 각각 참조한다. 하나의 pair로는 두 역할이 합쳐져 보인다.,true,Defense OSDK public relationship
IR-035,IF-020,Organization,LINK,IF-033,Materiel Change Event,conceptually_undirected,어느 조직의 물자 변경 기록인지 나타낸다.,true,Defense OSDK public relationship
IR-036,IF-020,Organization,LINK,IF-034,Materiel Status Event,conceptually_undirected,어느 조직의 물자 상태 기록인지 나타낸다.,true,Defense OSDK public relationship
IR-037,IF-020,Organization,LINK,IF-035,Materiel Requirement,conceptually_undirected,어느 조직이 물자를 요청했는지 나타낸다.,true,Defense OSDK public relationship
IR-038,IF-030,Ammunition Type,LINK,IF-055,Target Selection Standard,conceptually_undirected,"Target Selection Standard와 관련 Ammunition Type을 연결한다. ""이 기준에서 사용할 탄약""으로 단정하기보다 적용 맥락의 탄약 유형으로 보는 편이 안전하다.",true,Defense OSDK public relationship
IR-039,IF-030,Ammunition Type,LINK,IF-062,Aimpoint Weapon Employment,conceptually_undirected,조준점 공격에 사용할 탄약을 나타낸다.,true,Defense OSDK public relationship
IR-040,IF-021,Organization Hierarchy Node Relationship,LINK,IF-022,Organization Hierarchy Node Relationship Type,conceptually_undirected,조직 사이 관계가 지휘·배속 중 무엇인지 표시한다.,true,Defense OSDK public relationship
IR-041,IF-021,Organization Hierarchy Node Relationship,LINK,IF-023,Organization Hierarchy,conceptually_undirected,이 조직 관계가 어느 조직 계층에 속하는지 나타낸다.,true,Defense OSDK public relationship
IR-042,IF-029,Materiel Type,LINK,IF-035,Materiel Requirement,conceptually_undirected,어떤 물자가 필요한지 나타낸다.,true,Defense OSDK public relationship
IR-043,IF-027,Unit Hierarchy,LINK,IF-025,Unit Hierarchy Node Relationship,conceptually_undirected,이 부대 관계가 어느 부대 계층에 속하는지 나타낸다.,true,Defense OSDK public relationship
IR-044,IF-025,Unit Hierarchy Node Relationship,LINK,IF-026,Unit Hierarchy Node Relationship Type,conceptually_undirected,부대 사이 관계가 지휘·배속 중 무엇인지 표시한다.,true,Defense OSDK public relationship
IR-045,IF-025,Unit Hierarchy Node Relationship,LINK,IF-024,Unit,conceptually_undirected,부대 계층 관계 객체가 부모 Unit과 자식 Unit을 각각 참조한다. 하나의 pair로는 두 역할이 합쳐져 보인다.,true,Defense OSDK public relationship
IR-046,IF-024,Unit,LINK,IF-049,"Fire Support Coordination Measure, FSCM",conceptually_undirected,"FSCM과 관련 Unit을 연결한다. 상세 정의상 소유·조정·면제 Unit 등 서로 다른 역할이 존재하므로 단순히 ""관리 부대"" 하나로 축약하면 정보가 손실된다.",true,Defense OSDK public relationship
